Age,GENDER,MARITAL STATUS,NO. OF MEMBERS IN YOUR FAMILY ?,ARE YOU THE PRIMARY EARNER OF YOUR FAMILY ?,Relation with primary earner ?,WHAT IS YOUR HIGHEST EDUCATIONAL QUALIFICATION?,SKILL 1,RATING OF SKILL SET 1 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 1 ?,SKILL 2,RATING OF SKILL SET 2 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 2 ?,SKILL 3,RATING OF SKILL SET 3 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 3 ?,DO YOU HAVE ANY CERTIFICATION OF THE ABOVE-MENTIONED SKILL SET?,"OWNERSHIP ( includes Land,machine)",MONTHLY FAMILY INCOME,MONTHLY FAMILY EXPENDITURE,target
48,F,N,4,Y,None,HS,Handloom worker,9,18,Lemon Cultivation,9,8,Beetlenut Plantation,9,2,No,Land,11000,28000,1
30,M,Y,4,N,Father,BA,Agriculture,8,11,Beetlenut Plantation,9,9,Handicraft,8,1.5,No,Land,40000,9000,0
48,F,Y,3,N,None,Class VI,Agriculture,9,20,Agriculture,9,7,Fishery,4,25,No,Land,13000,8000,0
40,M,Y,6,Y,None,HSLC,Agriculture,9,12,Beetlenut Plantation,9,6,No skill,0,0,No,Land,18000,20000,1
35,M,Y,5,Y,None,Class V,Agriculture,9,7,Medical Plant,9,7,No skill,0,0,No,Land,16000,9000,0
28,F,Y,5,Y,Father,HS,Agriculture,9,18,Business,9,10,No skill,0,0,No,Land,55000,8000,1
37,F,Y,4,Y,None,HSLC,Business,8,15,Beetlenut Plantation,9,25,No skill,0,0,No,Land,12000,11000,1
52,F,Y,4,Y,None,HSLC,Agriculture,9,30,Fishery,9,25,No skill,0,0,No,Land,10000,7000,1
41,M,Y,6,Y,Son,Class IX,Pig Farming,9,12,No skill,0,0,Agriculture,8,1.5,Yes,"Land,pond ",35000,7000,1
40,F,Y,4,N,None,HS,Agriculture,9,7,Beetlenut Plantation,8,7,No skill,0,0,No,Land,14000,9000,0
38,F,Y,4,Y,None,HSLC,Agriculture,9,5,Medical Plant,9,12,No skill,0,0,No,Land,16000,6000,0
67,M,Y,5,Y,Husband,BA,Agriculture,7,20,Beetlenut Plantation,8,7,Fishery,9,1.5,No,Land,45000,6000,1
64,M,N,4,Y,None,BA,Agriculture,9,4,Chicken farming,9,8,Agriculture,9,19,No,Land,20000,6000,0
45,M,Y,3,Y,None,BA ,Agriculture,7,12,Agriculture,9,8,Pig Farming,4,15,No,Land,13000,5000,1
48,F,Y,3,Y,None,HSLC,Agriculture,9,7,Business,9,6,No skill,0,0,No,Land,13000,32000,1
28,M,Y,6,Y,None,HSLC,Agriculture,9,10,Business,9,9,No skill,0,0,No,"Land,machine",18000,10000,1
42,M,Y,6,Y,None,HSLC,Agriculture,9,30,No skill,0,0,No skill,0,0,No,Land,16000,9000,1
68,M,N,6,N,None,HS,Agriculture,7,25,Beetlenut Plantation,9,15,No skill,0,0,No,Land,12000,8000,0
32,M,Y,4,Y,None,HS,Agriculture,7,3,Beetlenut Plantation,9,15,Business,7,2,No,Land,42000,30000,0
38,M,N,3,Y,Brother,HS,Agriculture,9,12,Vegetable Vendor,7,7,No skill,0,0,No,Land,55000,10000,1
38,M,Y,3,N,Son,HS,Agriculture,9,35,Agriculture,9,7,Fishery,4,12,No,Land,14000,11000,0
40,M,Y,5,Y,Husband,HSLC,Agriculture,9,12,Fishery,7,5,Fishery,9,1.5,No,Land,17000,18000,1
49,M,Y,3,Y,None,Class VII,Agriculture,9,1,Fishery,6,7,No skill,0,0,Yes,Land,12000,32000,0
48,M,Y,4,Y,None,BA,Beetlenut Plantation,8,5,Rice Mill,9,12,No skill,0,0,Yes,No ownership,10000,30000,0
29,F,N,3,Y,Son,HSLC,Agriculture,8,21,Business,8,5,Business,9,12,No,No ownership,12000,8000,1
41,M,Y,4,N,None,Class IX,Agriculture,9,15,Fishery,8,20,Agriculture,8,3,No,Land,20000,8000,0
32,M,Y,5,Y,None,Class III,Agriculture,9,30,Rubber Plantation,8,4,Chicken Farming,9,8,No,Land,9000,9000,1
57,F,Y,4,Y,None,Class III,Agriculture,7,10,Beetlenut Plantation,8,12,No skill,0,0,No,Land,10000,9000,1
41,M,Y,3,Y,None,HS,Pig Farming,9,10,Rubber Plantation,7,7,Contractor,4,12,No,Land,14000,7000,1
42,M,Y,5,N,None,HS,Agriculture,8,1,Bamboo plantation,7,16,Mushroom cultivation ,4,15,No,Land,10000,7000,0
36,M,Y,5,Y,None,HSLC,Agriculture,8,22,Business,8,30,Bamboo plantation,4,1.5,No,Land,12000,28000,1
37,M,Y,7,N,None,HS,Beetlenut Plantation,9,5,Agriculture,9,5,Handicraft,9,5,No,Land,16000,28000,0
30,M,Y,4,Y,None,MSc,Agriculture,9,15,Agriculture,9,6,Agriculture,4,14,No,Land,16000,7000,1
48,M,Y,7,N,None,Class IX,Agriculture,9,18,Fishery,7,12,No skill,0,0,No,Land,11000,8000,0
30,F,Y,6,N,None,HSLC,Agriculture,9,10,No skill,0,0,Fishery,8,7,No,Land,10000,8000,0
69,M,Y,7,Y,None,HS,Agriculture,9,25,small Business,9,8,Bamboo plantation,4,1.5,No,Land,15000,6000,1
33,M,Y,4,Y,None,Class VII,Agriculture,9,7,Beetlenut Plantation,8,3,No skill,0,0,No,Land,26000,18000,0
39,M,Y,3,Y,None,HSLC,Agriculture,9,5,Beetlenut Plantation,9,10,Agriculture,9,1.5,No,Land,15000,8000,0
44,M,Y,3,Y,None,BA,Agriculture,9,3,Agriculture,9,8,No skill,0,0,No,Land,9000,8000,0
27,M,Y,4,N,Father,MSc,Agriculture,9,3,Rubber Plantation,8,3,No skill,0,0,No,Land,12000,6000,0
54,F,Y,4,Y,None,BA,Agriculture,9,5,Business,9,7,Fishery,7,15,No,Land,10000,10000,0
64,F,Y,9,Y,None,Class VII,Agriculture,9,5,Fishery,9,7,No skill,0,0,No,Land,12000,9000,0
45,M,Y,5,Y,None,HS,Agriculture,9,11,Agriculture,8,5,No skill,0,0,No,No ownership,16000,30000,1
38,M,N,4,N,None,HS,Agriculture,9,12,E-Rickshaw,8,7,No skill,0,0,No,"Land,machine",6000,7000,0
28,M,Y,4,Y,Father,BA,Agriculture,7,1,Rubber Plantation,8,7,Fishery,4,15,No,"Land,vehicle",19000,6000,0
24,F,Y,7,Y,Husband,Class VII,Business,9,5,No skill,0,0,No skill,0,0,No,Land,9000,8000,0
40,M,Y,7,Y,Son,BSc,Agriculture,9,3,Vegetable Vendor,6,6,No skill,0,0,No,Land,15000,9000,0
49,M,N,4,Y,Wife,HS,Agriculture,9,2,Bamboo plantation,8,6,Chicken Farming,4,7,No,"Land,machine",15000,8000,0
54,F,Y,3,Y,Husband,HSLC,Agriculture,9,15,Fishery,9,8,No skill,0,0,No,Land,16000,12000,1
55,F,Y,3,Y,None,HS,Agriculture,9,3,Business,8,10,No skill,0,0,No,Land,6000,11000,0
43,F,Y,4,Y,None,Class VI,Agriculture,9,5,Medical Plant,9,8,Contractor,9,12,No,Land,15000,8000,0
38,M,Y,3,N,None,BA,Agriculture,8,30,Beetlenut Plantation,9,4,Beetlenut Plantation,4,12,No,Land,12000,8000,0
50,F,Y,10,Y,None,BA,Agriculture,9,21,small Business,6,2,No skill,0,0,No,Land,12000,20000,1
50,F,Y,3,Y,None,Class V,Agriculture,9,12,Beetlenut Plantation,8,10,Bamboo plantation,6,12,No,Land,45000,8000,1
36,M,Y,4,Y,None,HSLC,Business,9,8,Rubber Plantation,8,8,No skill,0,0,No,"Land,pond",11000,8000,1
28,F,Y,4,N,None,BA,Agriculture,9,32,Business,9,20,No skill,0,0,No,Land,35000,8000,1
38,M,Y,3,Y,None,HSLC,Agriculture,8,10,Beetlenut Plantation,9,7,No skill,0,0,No,Land,15000,7000,1
37,F,Y,4,N,None,HS,Business,9,9,Business,9,6,Chicken Farming,9,2,Yes,"Land,pond",26000,13000,0
68,M,Y,4,N,None,HSLC,Agriculture,9,2,Business,9,25,Fishery,4,10,Yes,"Land,pond",14000,28000,0
30,M,Y,3,Y,None,HSLC,Agriculture,9,12,Beetlenut Plantation,9,7,Horticulture,4,6,No,Land ,16000,9000,1
36,M,Y,4,Y,Son,HSLC,Strawberry Cultivation,9,30,Fishery,9,12,No skill,0,0,Yes,Land,8000,8000,1
45,F,Y,4,N,None,HS,Agriculture,9,9,Beetlenut Plantation,7,8,Beetlenut Plantation,4,25,No,Land,11000,7000,0
48,M,Y,3,N,None,HSLC,Agriculture,9,5,Fishery,9,20,No skill,0,0,No,Land,12000,4000,0
64,M,Y,5,N,None,BSc,Agriculture,9,18,Rubber Plantation,8,20,Beetlenut Plantation,4,8,No,Land,15000,8000,0
50,M,Y,5,N,None,HSLC,Agriculture,9,18,Business,9,7,No skill,0,0,No,Land,13000,9000,0
64,F,Y,3,N,Father ,HS,Agriculture,9,7,Beetlenut Plantation,9,15,No skill,0,0,No,Land ,13000,9000,0
70,M,Y,6,Y,None,Class VII,Beetlenut Plantation,9,3,Vegetable Vendor,8,4,No skill,0,0,No,Land,8000,28000,0
38,M,Y,4,N,None,MSc,Agriculture,9,18,Pig Farming,8,5,No skill,0,0,No,Land,10000,9000,0
37,M,Y,4,N,None,BA,Agriculture,9,20,Fishery,7,4,No skill,0,0,No,Land,12000,25000,0
32,M,N,4,Y,None,HS,Agriculture,9,10,Bamboo plantation,9,10,Beetlenut Plantation,8,9,No,Land,42000,10000,1
37,F,Y,4,Y,Father,BA,Agriculture,9,3,Business,9,8,Fishery,6,2,No,Land,11000,10000,0
40,M,N,4,Y,None,Class VII,Handicraft,7,8,Business,8,12,No skill,0,0,No,Land,15000,18000,1
39,F,Y,4,Y,None,BA,Agriculture,9,20,Beetlenut Plantation,8,4,No skill,0,0,Yes,No ownership,14000,30000,1
29,F,N,4,Y,None,HS,Agriculture,9,5,Beetlenut Plantation,8,5,Mushroom cultivation ,9,2,No,Land,18000,12000,0
45,M,Y,4,N,Father ,HSLC,Agriculture,9,3,Business,9,25,No skill,0,0,No,Land,11000,35000,0
41,M,Y,5,Y,Husband,HS,Agriculture,9,32,Beetlenut Plantation,8,8,No skill,0,0,No,Land,45000,18000,1
58,M,Y,4,Y,None,HSLC,Agriculture,9,8,Beetlenut Plantation,6,15,Fishery,6,5,Yes,Land,28000,12000,1
45,F,N,3,Y,None,HSLC,Agriculture,9,11,Business,8,4,Agriculture,9,1.5,No,Land,8000,8000,1
33,M,Y,2,N,None,HS,Agriculture,6,15,Beetlenut Plantation,8,5,Agriculture,9,1.5,No,Land,12000,7000,0
42,F,Y,5,N,None,HSLC,Agriculture,9,5,Handicraft,9,15,Beetlenut Plantation,4,8,No,Land,11000,8000,0
27,M,Y,5,N,None,HSLC,Agriculture,8,15,Business,8,12,No skill,0,0,No,No ownership,10000,7000,0
35,M,Y,3,Y,None,HS,Sericulture,9,5,Business,9,7,No skill,0,0,Yes,Land,48000,6000,0
44,F,Y,3,Y,None,HS,Beetlenut Plantation,9,4,Fishery,9,8,No skill,0,0,No,Land,45000,28000,0
40,M,Y,4,Y,None,HSLC,Agriculture,9,5,Beetlenut Plantation,9,4,No skill,0,0,No,Land,8000,18000,0
40,F,N,5,Y,None,HS,Pig Farming,9,50,Rubber Plantation,9,12,No skill,0,0,No,Land,40000,7000,1
39,M,N,3,N,Wife,PhD,Folding hotel ,6,18,Bamboo plantation,7,4,No skill,0,0,No,Land,13000,26000,0
31,F,Y,4,Y,None,HSLC,Agriculture,9,11,Bamboo plantation,8,15,No skill,0,0,No,Land,13000,9000,1
64,M,N,5,Y,Brother,Class V,Agriculture,9,20,Fishery,9,12,No skill,0,0,No,Land,26000,4000,1
28,F,Y,3,Y,None,MCA,Tea Plantation ,9,12,fastfoodhop,9,10,Pig Farming,6,1.5,No,Land,14000,9000,1
54,F,Y,3,Y,Husband,HS,Agriculture,9,8,Medical Plant,7,5,No skill,0,0,No,Land,10000,15000,1
34,F,Y,2,N,Father,HSLC,Agriculture,9,10,Fishery,8,19,Horticulture,4,3,Yes,Land,12000,7000,0
50,M,Y,6,N,None,HS,Agriculture,9,25,Beetlenut Plantation,8,5,Chicken Farming,9,6,No,Land,10000,10000,0
29,F,Y,4,N,None,HS,Agriculture,9,21,Beetlenut Plantation,8,4,No skill,0,0,No,Land,35000,9000,0
33,F,Y,3,N,Wife,Class VIII,Agriculture,9,8,Beetlenut Plantation,8,7,Horticulture,8,25,No,Land,19000,8000,0
30,M,Y,4,Y,Father,HSLC,Driver,9,15,Vegetable Vendor,9,7,Bamboo plantation,4,10,No,Land,28000,10000,1
35,F,Y,4,Y,None,HS,Agriculture,9,15,Business,7,12,Chicken Farming,9,9,No,Land,65000,8000,1
35,M,Y,4,Y,None,HSLC,Agriculture,9,8,Business,6,6,No skill,0,0,No,"Land,pond",18000,8000,1
68,F,Y,3,Y,Husband,MSc,Agriculture,9,21,Fishery,7,7,Business,9,1.5,No,Land,13000,8000,1
40,F,Y,2,Y,Father ,HS,Agriculture,9,11,Business,9,15,No skill,0,0,No,"Land,pond",11000,13000,1
33,M,Y,5,Y,None,Class VII,Agriculture,9,19,Bamboo plantation,9,7,No skill,0,0,No,Land,15000,9000,1
44,M,Y,4,Y,None,HSLC,Agriculture,9,19,Beetlenut Plantation,8,37,No skill,0,0,No,"Land,pond",11000,9000,1
37,M,Y,2,Y,Brother,HS,Agriculture,9,30,No skill,0,0,No skill,0,0,No,No ownership,28000,20000,1
52,M,Y,3,Y,None,MCA,Beetlenut Plantation,9,8,Beetlenut Plantation,8,7,No skill,0,0,No,Land,36000,8000,0
40,M,Y,3,N,None,Class III,Pig Farming,8,12,Agriculture,8,7,Horticulture,8,9,No,Land,20000,45000,0
60,M,Y,3,Y,Father,HSLC,Agriculture,8,7,No skill,0,0,Chicken Farming,9,1.5,No,Land,14000,8000,0
70,M,Y,5,Y,None,HS,Agriculture,9,5,Business,7,7,Contractor,9,7,No,No ownership,45000,13000,0
28,M,Y,4,N,None,Class v,Agriculture,9,38,Rubber Plantation,9,7,Fishery,9,7,No,"Land,pond",9000,15000,0
30,M,Y,3,Y,Wife,HSLC,Agriculture,9,2,Agriculture,8,25,Handicraft,4,1.5,Yes,Land,15000,9000,0
44,M,Y,4,Y,None,HS,Agriculture,9,11,Vegetable Vendor,9,12,Business,4,12,No,No ownership,13000,13000,1
45,M,Y,7,Y,Son,MSc,Agriculture,8,15,Business,8,6,shop,4,5,No,No ownership,10000,10000,1
47,M,Y,4,N,son,HSLC,Agriculture,9,18,Pig Farming,5,15,No skill,0,0,No,Land,15000,11000,0
44,F,N,4,N,None,HS,Agriculture,9,18,Vegetable Vendor,8,15,No skill,0,0,No,Land,56000,8000,0
48,F,Y,3,Y,None,HSLC,Agriculture,9,13,Bamboo plantation,8,9,No skill,0,0,No,"Land,pond",18000,9000,1
35,M,Y,3,Y,Husband,HS,Agriculture,7,15,Business,6,7,Fishery,9,5,No,Land,55000,9000,0
38,M,Y,3,N,None,BA ,Beetlenut Plantation,9,7,Beetlenut Plantation,8,4,Pig Farming,9,3,No,Land,18000,9000,0
30,M,Y,4,N,Husband,HSLC,Agriculture,9,15,Business,9,8,No skill,0,0,No,Land,16000,8000,0
40,M,Y,3,Y,None,HS,Agriculture,8,7,Bamboo plantation,9,12,Chicken Farming,9,7,No,Land,10000,10000,1
47,M,Y,3,N,None,HSLC,Agriculture,9,20,Business,9,15,Fishery,4,7,No,Land,11000,8000,1
35,M,Y,6,Y,Husband,HS,Agriculture,9,14,Pig Farming,8,6,Agriculture,7,3,No,Land,18000,9000,1
68,M,Y,3,Y,None,BA,Tea Plantation ,7,10,Agriculture,9,10,Mushroom cultivation ,8,6,No,Land,10000,7000,1
38,M,Y,3,N,None,Class VII,Agriculture,9,20,Rice Mill,8,9,No skill,0,0,Yes,Land,55000,7000,0
47,M,Y,3,N,None,HSLC,Agriculture,9,15,Vegetable Vendor,9,8,Bamboo plantation,8,1.5,Yes,Land,16000,11000,0
64,M,Y,4,Y,Husband,HSLC,Agriculture,9,8,Handicraft,8,15,Pig Farming,4,15,No,Land,40000,10000,1
42,M,N,3,N,Father,BA,Agriculture,9,15,Vegetable Vendor,9,6,Bamboo plantation,9,5,No,Land,10000,10000,0
48,F,Y,10,Y,None,HSLC,Agriculture,9,5,Business,6,9,Beetlenut Plantation,4,12,Yes,Land,15000,32000,0
61,M,Y,4,Y,Father,HSLC,Agriculture,9,18,Pig Farming,9,7,No skill,0,0,No,"Land,machine",42000,35000,1
28,M,Y,4,N,Father,HS,Agriculture,9,20,Beetlenut Plantation,7,4,Beetlenut Plantation,8,9,No,Land,10000,20000,0
27,F,Y,4,N,None,HSLC,Fishery,8,18,Beetlenut Plantation,8,12,No skill,0,0,No,Land,55000,6000,0
72,M,Y,4,Y,None,Class VIII,Business,9,20,Beetlenut Plantation,9,10,No skill,0,0,No,Land,35000,18000,1
40,M,Y,5,Y,None,HSLC,Shop ,9,12,Handicraft,6,2,Beetlenut Plantation,4,1.5,No,Land,11000,9000,1
42,M,Y,4,Y,None,HS,Agriculture,8,32,Beetlenut Plantation,7,9,Agriculture,8,1.5,No,"Land,pond",20000,6000,1
41,F,Y,3,Y,None,HSLC,Agriculture,9,5,Medical Plant,9,7,Fishery,4,1.5,No,No ownership,65000,5000,0
48,M,Y,4,Y,None,BA,Agriculture,9,25,Bamboo plantation,8,3,Fishery,4,15,No,Land,45000,15000,1
54,F,Y,8,Y,None,HSLC,Agriculture,9,8,Bamboo plantation,8,20,Fishery,4,1.5,No,Land,12000,4000,1
38,M,Y,5,N,Son,Class VII,Agriculture,9,18,Dairy Farm,8,5,No skill,0,0,No,Land,13000,11000,0
40,M,Y,5,Y,None,HSLC,Agriculture,9,12,Beetlenut Plantation,8,10,No skill,0,0,No,Land,11000,18000,1
28,M,N,6,N,Father,HSLC,Beetlenut Plantation,9,12,Lemon Cultivation,9,5,Beetlenut Plantation,4,6,No,Land,11000,9000,0
30,M,N,6,Y,Father,Class IV,Agriculture,9,8,Beetlenut Plantation,9,15,No skill,0,0,No,Land,25000,15000,1
38,M,N,3,N,None,HSLC,Agriculture,8,2,Business,8,10,Pig Farming,9,6,No,Land,8000,28000,0
31,F,Y,5,Y,None,HSLC,Agriculture,9,38,Business,9,7,Contractor,4,2,No,Land,16000,10000,1
50,M,Y,3,N,None,HSLC,Agriculture,9,1,Vegetable Vendor,9,8,Fishery,7,6,No,Land,18000,9000,0
46,M,Y,3,Y,None,Class VI,Agriculture,7,45,Handicraft,7,7,No skill,0,0,No,"Land,pond",12000,45000,1
37,M,Y,3,N,Son,Class VII,Business,9,5,Beetlenut Plantation,8,12,No skill,0,0,Yes,Land,16000,7000,0
38,M,N,4,Y,None,HS,Agriculture,7,10,E-Rickshaw,8,20,Fishery,4,18,No,No ownership,13000,10000,1
54,M,Y,4,N,None,MCA,Medical plant research,9,9,Bamboo plantation,9,20,Fishery,9,1.5,No,"Land,pond",8000,9000,1
35,M,Y,7,N,None,BA,Agriculture,9,19,Fishery,7,6,No skill,0,0,No,Land,11000,5000,0
41,M,Y,3,Y,None,HS,Agriculture,9,3,Beetlenut Plantation,8,8,Pig Farming,9,9,No,Land,9000,7000,0
50,M,Y,3,Y,None,Class VIII,Agriculture,9,1,Business,6,7,Contractor,9,8,No,Land,13000,6000,0
40,M,Y,3,N,None,HSLC,Agriculture,9,30,Beetlenut Plantation,8,15,No skill,0,0,No,Land,14000,9000,0
40,F,Y,2,N,None,HSLC,Agriculture,9,15,Beetlenut Plantation,8,2,Agriculture,8,5,No,Land,15000,6000,0
30,M,Y,5,Y,None,MCA,Handicraft,8,5,Business,9,12,Agriculture,9,10,No,Land,15000,35000,0
33,M,Y,3,Y,Father,HSLC,Tea Plantation ,7,18,Beetlenut Plantation,6,15,Beetlenut Plantation,4,16,No,Land,8000,15000,1
28,M,Y,5,Y,Father,Class VII,Agriculture,7,15,Dairy Farm,7,18,No skill,0,0,No,Land,15000,10000,1
50,F,Y,3,Y,None,MCA,Agriculture,9,21,Pig Farming,7,7,Contractor,9,1.5,No,No ownership,12000,9000,1
40,M,Y,3,N,None,MSc,Tea Plantation ,9,25,Beetlenut Plantation,9,15,Mushroom cultivation ,6,5,No,Land,10000,7000,1
52,F,Y,3,N,Father,HS,Agriculture,9,30,Beetlenut Plantation,8,11,Fishery,9,5,No,No ownership,16000,9000,0
41,M,N,5,N,None,HSLC,Agriculture,9,5,Bamboo plantation,6,8,No skill,0,0,Yes,Land,14000,8000,0
27,M,Y,4,N,None,HS,Beetlenut Plantation,9,32,Business,9,7,Contractor,4,2,No,Land,12000,20000,0
49,F,Y,4,Y,None,BA,Agriculture,8,5,Vegetable Vendor,8,20,No skill,0,0,No,Land,55000,12000,0
27,F,Y,4,N,None,Class IX,Tea Plantation ,9,23,Agriculture,8,6,No skill,0,0,No,"Land,pond",18000,6000,0
41,M,Y,3,N,None,Class VII,Agriculture,9,5,fastfoodhop,6,12,No skill,0,0,No,Land,12000,9000,0
49,M,Y,4,Y,Husband,HSLC,Agriculture,9,32,Handicraft,9,18,No skill,0,0,No,Land,55000,20000,1
35,M,Y,3,N,None,Class VIII,Agriculture,9,11,Pig Farming,7,8,No skill,0,0,No,"Land,machine",15000,8000,0
48,F,Y,3,N,Son,HSLC,Agriculture,9,25,Bamboo plantation,9,6,No skill,0,0,Yes,"Land,machine",14000,10000,0
38,M,Y,7,N,Wife,BA,Agriculture,9,9,Bamboo plantation,8,8,No skill,0,0,No,No ownership,30000,10000,0
50,M,Y,3,Y,Husband,PhD,Business,8,12,Agriculture,9,7,Beetlenut Plantation,7,3,No,No ownership,12000,9000,0
35,M,Y,3,Y,None,HSLC,Agriculture,9,25,Beetlenut Plantation,9,8,No skill,0,0,No,Land,20000,6000,1
47,M,Y,10,Y,son,Class IX,Agriculture,9,20,Handicraft,6,6,Fishery,9,14,No,Land,16000,35000,1
37,M,Y,7,N,son,HSLC,Agriculture,9,9,Beetlenut Plantation,9,15,No skill,0,0,No,"Land,pond",28000,13000,1
40,F,Y,5,Y,None,BA,Agriculture,9,25,Bamboo plantation,9,4,No skill,0,0,No,Land,26000,10000,1
45,M,N,3,N,None,HSLC,Agriculture,9,20,Dairy Farm,6,10,No skill,0,0,No,Land,48000,9000,0
28,M,N,6,N,Father,HSLC,Agriculture,9,20,No skill,0,0,No skill,0,0,No,Land,10000,9000,0
38,M,Y,4,Y,None,HSLC,Agriculture,7,10,Bamboo plantation,9,6,No skill,0,0,No,Land,20000,6000,1
48,M,Y,9,Y,None,HS,Agriculture,9,15,Business,9,18,No skill,0,0,No,"Land,pond",12000,40000,1
58,M,Y,3,Y,None,BA,Agriculture,9,20,Beetlenut Plantation,9,9,Beetlenut Plantation,4,1.5,No,Land,26000,8000,1
29,M,Y,3,N,None,HS,Agriculture,9,12,Business,8,10,Fishery,9,10,No,Land,19000,9000,0
44,M,Y,7,Y,None,BA,Agriculture,9,1,Beetlenut Plantation,8,5,Bamboo plantation,9,5,No,No ownership,125000,8000,0
66,F,Y,2,Y,None,HS,Beetlenut Plantation,9,25,Handicraft,8,25,No skill,0,0,No,Land,14500,7000,1
58,F,N,2,Y,Son,HSLC,Agriculture,9,15,Vegetable Vendor,8,4,Business,9,10,No,"Land,machine",19000,30000,1
40,M,N,7,N,None,Class VIII,Agriculture,9,3,Dairy Farm,7,12,No skill,0,0,No,Land,11000,7000,0
38,M,Y,3,N,None,HSLC,Agriculture,9,11,Pig Farming,7,5,No skill,0,0,No,"Land,pond",10000,10000,0
36,M,Y,3,N,Father,HS,Beetlenut Plantation,9,8,Agriculture,9,15,No skill,0,0,No,Land,18000,8000,0
27,F,Y,3,Y,None,HS,Agriculture,9,2,Bamboo plantation,9,9,Handicraft,4,6,No,Land,13000,8000,0
30,M,Y,7,Y,None,BA,Agriculture,9,7,Pig Farming,9,7,No skill,0,0,No,Land,14000,10000,1
38,F,N,4,Y,None,HS,Beetlenut Plantation,9,14,Bamboo plantation,8,5,No skill,0,0,No,Land,26000,35000,1
58,M,Y,5,N,None,HS,Agriculture,9,8,Beetlenut Plantation,9,7,Agriculture,4,3,No,"Land,machine",10000,12000,0
41,M,N,4,Y,Husband ,HS,Agriculture,9,15,Business,9,5,Contractor,6,1.5,No,Land,15000,28000,1
36,M,Y,5,Y,None,HSLC,Agriculture,9,22,Agriculture,6,14,Business,8,3,No,Land,16000,30000,1
47,M,Y,4,Y,None,HSLC,Agriculture,9,12,Beetlenut Plantation,9,6,Handicraft,9,5,No,Land,19000,6000,1
38,M,Y,3,N,None,HS,Beetlenut Plantation,6,20,Beetlenut Plantation,9,19,No skill,0,0,No,Land,28000,6000,0
28,M,Y,6,N,Husband,MSc,Agriculture,9,12,Beetlenut Plantation,6,5,No skill,0,0,No,Land,20000,8000,0
38,F,Y,3,Y,Father ,Class v,Agriculture,9,2,Medical Plant,9,12,Bamboo plantation,9,20,No,Land,18000,15000,0
48,F,Y,4,Y,None,HS,Agriculture,5,13,Business,8,25,Bamboo plantation,4,5,No,Land,14000,12000,0
30,M,Y,3,N,None,HS,Agriculture,8,3,Business,7,25,Beetlenut Plantation,6,1.5,No,"Land,pond",15000,9000,0
54,F,N,5,Y,None,HS,Agriculture,9,20,Business,8,7,No skill,0,0,No,Land,10000,18000,1
45,F,Y,5,Y,None,HSLC,Agriculture,9,21,Business,9,5,No skill,0,0,No,Land,13000,8000,1
29,M,Y,5,N,None,HSLC,Agriculture,9,20,Vegetable Vendor,7,12,No skill,0,0,No,Land,10000,18000,0
42,M,Y,3,Y,None,BA,Agriculture,9,18,Pig Farming,9,20,Pig Farming,4,1.5,No,"Land,pond",19000,9000,1
45,M,Y,5,Y,None,HSLC,Fishery,6,18,Agriculture,8,5,Fishery,4,15,No,Land,11000,9000,0
35,M,Y,4,Y,None,HS,Agriculture,9,30,Business,9,8,Business,8,1.5,No,Land,9000,5000,1
30,M,Y,5,Y,None,Class VII,Agriculture,9,25,Beetlenut Plantation,6,5,No skill,0,0,No,Land,12000,8000,1
32,M,Y,4,Y,Father,HSLC,Fishery,8,15,Agriculture,8,14,No skill,0,0,No,Land,10000,20000,1
44,M,Y,3,N,None,HS,Agriculture,7,20,Beetlenut Plantation,8,7,Agriculture,9,5,No,Land,18000,8000,0
49,F,Y,7,N,None,HS,Agriculture,8,12,Vegetable Vendor,9,12,Handicraft,7,1.5,No,Land,12000,7000,0
32,M,Y,5,Y,Son,HSLC,Agriculture,9,32,No skill,0,0,No skill,0,0,No,"Land,machine",11000,7000,1
69,M,N,3,Y,None,HS,Agriculture,9,8,Business,8,12,No skill,0,0,No,Land,28000,8000,1
52,M,Y,3,Y,None,HSLC,Agriculture,9,8,Agriculture,9,15,Business,6,21,No,"Land,pond, machines",25000,4000,1
72,M,N,3,Y,None,HSLC,Agriculture,9,15,Chicken farming,9,7,No skill,0,0,No,No ownership,14000,9000,1
50,M,Y,4,Y,None,HSLC,Agriculture,9,3,Beetlenut Plantation,9,8,No skill,0,0,No,Land,45000,9000,0
40,M,Y,3,N,Mother ,HSLC,Beetlenut Plantation,9,20,Business,9,8,No skill,0,0,No,Land,25000,9000,0
50,M,Y,4,Y,None,MSc,Beetlenut Plantation,9,18,E-Rickshaw,8,15,Fishery,9,3,No,Land,10000,7000,1
27,M,Y,3,N,None,HS,Fishery,9,18,Beetlenut Plantation,9,8,No skill,0,0,No,Land,12000,6000,0
28,F,Y,2,Y,None,Class VIII,Folding hotel ,9,3,Beetlenut Plantation,9,15,Horticulture,9,6,No,Land,16000,9000,0
44,F,Y,3,Y,None,HS,Agriculture,9,20,Vegetable Vendor,9,25,Agriculture,6,1.5,No,Land,18000,8000,1
